source_file,dataset,scene_id,frame_pair_idx,f1,miou,confidence_current,obj_count_t,obj_count_prev,both_empty,confidence_tuned
unified_nuscenes_mini.json,nuscenes_mini,cc8c0bf57f984915a77078b10eb33198,1,0.9115646258503401,0.5834761546775538,0.7115217365020365,78,69,False,0.6816059306608343
unified_nuscenes_mini.json,nuscenes_mini,cc8c0bf57f984915a77078b10eb33198,2,0.9390243902439025,0.5911603240633894,0.7255526241802778,86,78,False,0.6939986710104697
unified_nuscenes_mini.json,nuscenes_mini,cc8c0bf57f984915a77078b10eb33198,3,0.9444444444444444,0.6123242989036621,0.7429582570698815,94,86,False,0.7125550782701636
unified_nuscenes_mini.json,nuscenes_mini,cc8c0bf57f984915a77078b10eb33198,4,0.9441624365482233,0.6365845854956942,0.7604506796170947,103,94,False,0.731965892577148
unified_nuscenes_mini.json,nuscenes_mini,cc8c0bf57f984915a77078b10eb33198,5,0.9805825242718447,0.6758869936205759,0.8002125284239673,103,103,False,0.7718184824606514
unified_nuscenes_mini.json,nuscenes_mini,cc8c0bf57f984915a77078b10eb33198,6,0.9483568075117371,0.6820404264107318,0.7934489888429596,110,103,False,0.7683479413320777
unified_nuscenes_mini.json,nuscenes_mini,cc8c0bf57f984915a77078b10eb33198,7,0.956140350877193,0.6706751865876892,0.7883628253041995,118,110,False,0.7616333626579663
unified_nuscenes_mini.json,nuscenes_mini,cc8c0bf57f984915a77078b10eb33198,8,0.9747899159663865,0.7098183683524748,0.8214665180282419,120,118,False,0.7964130328606271
unified_nuscenes_mini.json,nuscenes_mini,cc8c0bf57f984915a77078b10eb33198,9,0.9672131147540983,0.7197264184784528,0.825316709813825,124,120,False,0.8017909860893512
unified_nuscenes_mini.json,nuscenes_mini,cc8c0bf57f984915a77078b10eb33198,10,0.9721115537848605,0.7221870846386395,0.8287172740775228,127,124,False,0.8049692441860364
unified_nuscenes_mini.json,nuscenes_mini,cc8c0bf57f984915a77078b10eb33198,11,0.9843749999999999,0.7193185430786506,0.8312293794677157,129,127,False,0.806145773041376
unified_nuscenes_mini.json,nuscenes_mini,cc8c0bf57f984915a77078b10eb33198,12,0.9660377358490566,0.7164337545238469,0.8227216993774426,136,129,False,0.7990140927117819
unified_nuscenes_mini.json,nuscenes_mini,cc8c0bf57f984915a77078b10eb33198,13,0.9816849816849818,0.6907660253081935,0.8109241963987283,137,136,False,0.7836610270089371
unified_nuscenes_mini.json,nuscenes_mini,cc8c0bf57f984915a77078b10eb33198,14,0.9640287769784173,0.703152686718725,0.8131811603814509,141,137,False,0.7885045732277635
unified_nuscenes_mini.json,nuscenes_mini,cc8c0bf57f984915a77078b10eb33198,15,0.971830985915493,0.7478372216671755,0.8452470722603761,143,141,False,0.8237867827703211
unified_nuscenes_mini.json,nuscenes_mini,cc8c0bf57f984915a77078b10eb33198,16,0.979310344827586,0.7325653345128923,0.8381562898858835,147,143,False,0.814671421688404
unified_nuscenes_mini.json,nuscenes_mini,cc8c0bf57f984915a77078b10eb33198,17,0.976271186440678,0.6480203565875983,0.7789789344068279,148,147,False,0.7487175144204091
unified_nuscenes_mini.json,nuscenes_mini,cc8c0bf57f984915a77078b10eb33198,18,0.98,0.7353546839583747,0.8402326027866268,152,148,False,0.8169303717294045
unified_nuscenes_mini.json,nuscenes_mini,cc8c0bf57f984915a77078b10eb33198,19,0.9675324675324676,0.7124843817584756,0.820649663865278,156,152,False,0.7964669158727313
unified_nuscenes_mini.json,nuscenes_mini,cc8c0bf57f984915a77078b10eb33198,20,0.9806451612903225,0.6762633393599388,0.8004971036765037,154,156,False,0.7721284193156653
unified_nuscenes_mini.json,nuscenes_mini,cc8c0bf57f984915a77078b10eb33198,21,0.9704918032786884,0.7224055896497251,0.8282717794391761,151,154,False,0.8046871770988209
unified_nuscenes_mini.json,nuscenes_mini,cc8c0bf57f984915a77078b10eb33198,22,0.9632107023411371,0.7389196747150657,0.8362887053688413,148,151,False,0.8148149716247142
unified_nuscenes_mini.json,nuscenes_mini,cc8c0bf57f984915a77078b10eb33198,23,0.9589041095890412,0.7431406789770637,0.8373475487357426,144,148,False,0.8166428691446603
unified_nuscenes_mini.json,nuscenes_mini,cc8c0bf57f984915a77078b10eb33198,24,0.95,0.6866621818658538,0.7971466800135669,136,144,False,0.7722943834758694
