actual_confidence,dataset,decision,frame_idx,is_audit_frame,predicted_confidence,predicted_std,prediction_error,scene_id,source_json
0.312373,waymo,FULL_DETECTION,88,False,0.335075,0.214929,0.0,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
0.306625,waymo,FULL_DETECTION,89,False,0.335366,0.213498,0.0,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
0.309839,waymo,FULL_DETECTION,90,True,0.335636,0.213251,0.025797,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
0.334258,waymo,FULL_DETECTION,91,False,0.345426,0.241022,0.0,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
0.333101,waymo,FULL_DETECTION,92,False,0.356655,0.249297,0.0,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
0.324112,waymo,FULL_DETECTION,93,False,0.356313,0.245637,0.0,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
0.317117,waymo,FULL_DETECTION,94,False,0.346998,0.232646,0.0,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
0.327439,waymo,FULL_DETECTION,95,True,0.345165,0.226658,0.017725,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
0.293831,waymo,FULL_DETECTION,96,False,0.341006,0.21965,0.0,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
0.294033,waymo,FULL_DETECTION,97,False,0.341688,0.219843,0.0,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
0.326589,waymo,FULL_DETECTION,98,False,0.353355,0.22711,0.0,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
0.301855,waymo,FULL_DETECTION,99,False,0.350037,0.218809,0.0,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
0.305081,waymo,FULL_DETECTION,100,True,0.0,8.457175,0.305081,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
0.33837,waymo,FULL_DETECTION,101,False,0.310847,0.285707,0.0,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
0.290336,waymo,FULL_DETECTION,102,False,0.312926,0.288945,0.0,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
0.304794,waymo,FULL_DETECTION,103,False,0.325215,0.292633,0.0,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
0.327941,waymo,FULL_DETECTION,104,False,0.337209,0.299264,0.0,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
0.332375,waymo,FULL_DETECTION,105,True,0.342305,0.302015,0.00993,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
0.3325,waymo,FULL_DETECTION,106,False,0.337343,0.251684,0.0,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
0.322862,waymo,FULL_DETECTION,107,False,0.339822,0.254297,0.0,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
0.29393,waymo,FULL_DETECTION,108,False,0.348594,0.256919,0.0,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
0.27708,waymo,FULL_DETECTION,109,False,0.354337,0.260115,0.0,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
0.339208,waymo,FULL_DETECTION,110,True,0.351426,0.262054,0.012218,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
0.29228,waymo,FULL_DETECTION,111,False,0.339201,0.236588,0.0,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
0.290485,waymo,FULL_DETECTION,112,False,0.338611,0.236708,0.0,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
0.341416,waymo,FULL_DETECTION,113,False,0.340301,0.238653,0.0,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
0.327059,waymo,FULL_DETECTION,114,False,0.338892,0.242442,0.0,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
0.323148,waymo,FULL_DETECTION,115,True,0.33433,0.247959,0.011182,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
0.321029,waymo,FULL_DETECTION,116,False,0.335194,0.240901,0.0,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
0.339305,waymo,FULL_DETECTION,117,False,0.350721,0.237684,0.0,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
0.331624,waymo,FULL_DETECTION,118,False,0.350571,0.239454,0.0,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
0.314369,waymo,FULL_DETECTION,119,False,0.345776,0.243317,0.0,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
0.328377,waymo,FULL_DETECTION,120,True,0.344191,0.249432,0.015814,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
0.330986,waymo,FULL_DETECTION,121,False,0.336757,0.238538,0.0,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
0.323086,waymo,FULL_DETECTION,122,False,0.339807,0.2383,0.0,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
0.330808,waymo,FULL_DETECTION,123,False,0.338928,0.23956,0.0,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,/media/tersiteab/new_drive/checker_model/Point-Cloud-Similarity-Score/output/waymo/waymo_inference.json
