dataset,scene_id,pair_count,mean_f1,mean_miou,mean_conf_current,mean_conf_tuned,both_empty_pairs
kitti,2011_09_26_drive_0020_sync,85,0.9972411901823667,0.8317355257972648,0.9062675952001386,0.9403621073495854,0
kitti,2011_09_26_drive_0009_sync,442,0.9719385092612244,0.506122764560436,0.6524011232742336,0.7453030295814818,16
nuscenes_full,325cef682f064c55a255f2625c533b75,398,0.7989949748743719,0.7800750282197387,0.7894016831028282,0.7932065970231212,0
nuscenes_full,bebf5f5b2a674631ab5c88fd1aa9e87a,395,0.7974683544303798,0.7737484013232151,0.7854199125892319,0.7901933144113088,0
nuscenes_full,cc8c0bf57f984915a77078b10eb33198,381,0.800524934383202,0.7629403656425932,0.7812396852399847,0.7888309665792833,0
nuscenes_full,6f83169d067343658251f72e1dd17dbc,397,0.7984886649874056,0.7212104837544767,0.7578200117636866,0.7735629079658047,0
nuscenes_full,fcbccedd61424f1b85dcbf8f897f9754,388,0.7989690721649485,0.7124977558534331,0.7529503449210232,0.7706199597932475,0
nuscenes_full,2fc3753772e241f2ab2cd16a784cc680,396,0.797979797979798,0.7083175323542743,0.750184525711566,0.7685186707509458,0
nuscenes_full,de7d80a1f5fb4c3e82ce8a4f213b450a,390,0.8,0.681046457447501,0.7353719123039483,0.7598139200387178,0
nuscenes_full,e233467e827140efa4b42d2b4c435855,390,0.8,0.6428453810842352,0.7127911380394268,0.7452671056690016,0
nuscenes_full,c5224b9b454b4ded9b5d2d2634bbda8a,391,0.8005115089514067,0.5474894864797781,0.6496069003359207,0.7023263321191077,0
nuscenes_full,d25718445d89453381c659b9c8734939,399,0.7994987468671679,0.5402977291385604,0.6438604349479493,0.6978886694781824,0
nuscenes_mini,325cef682f064c55a255f2625c533b75,40,0.9753972510697249,0.8401878499768586,0.9021073901825855,0.9298760557701252,0
nuscenes_mini,bebf5f5b2a674631ab5c88fd1aa9e87a,40,0.9559091774113,0.8442336016079702,0.8961723263989768,0.91902789698587,0
nuscenes_mini,cc8c0bf57f984915a77078b10eb33198,38,0.9646399067150631,0.7178689253116518,0.8220920074658978,0.8733829152546839,0
nuscenes_mini,6f83169d067343658251f72e1dd17dbc,40,0.9913090937286457,0.6163843166725874,0.7595623502386762,0.8376987147523586,0
nuscenes_mini,2fc3753772e241f2ab2cd16a784cc680,40,0.970280555999171,0.5433981220417914,0.6909519990904938,0.7783842865134981,0
nuscenes_mini,fcbccedd61424f1b85dcbf8f897f9754,39,0.9524998523941878,0.49724641510046924,0.6373186338945364,0.7250680550943256,0
nuscenes_mini,e233467e827140efa4b42d2b4c435855,39,0.9897994803034452,0.4554243477133524,0.6226172088198478,0.7304371929555634,0
nuscenes_mini,de7d80a1f5fb4c3e82ce8a4f213b450a,39,0.9621927903922651,0.35542495064056706,0.514315890977676,0.6286154466524947,0
nuscenes_mini,d25718445d89453381c659b9c8734939,40,0.9364893339994923,0.21268492022521265,0.3239307717295421,0.4192074295508261,0
nuscenes_mini,c5224b9b454b4ded9b5d2d2634bbda8a,39,0.9487125918535244,0.16958172012214767,0.2819012379773265,0.38526379739152206,0
waymo,segment-16751706457322889693_4475_240_4495_240_with_camera_labels,197,0.995747634971034,0.6100540220909214,0.7164554282417538,0.7855946455604506,0
waymo,segment-1464917900451858484_1960_000_1980_000_with_camera_labels,196,0.9938529076151427,0.18983146385443203,0.31658935839073166,0.43291774595865534,0
waymo,segment-15724298772299989727_5386_410_5406_410_with_camera_labels,196,0.9937717542583192,0.15055577154247188,0.22236737361705486,0.2900566316465931,0
