dataset,scene_id,pair_count,mean_f1,mean_miou,mean_conf_current,mean_conf_tuned,both_empty_pairs
nuscenes_full,325cef682f064c55a255f2625c533b75,398,0.9975128546820009,0.9763005139817303,0.9867540844451865,0.9867540844451865,0
nuscenes_full,bebf5f5b2a674631ab5c88fd1aa9e87a,395,0.9954570083685513,0.9702489360720393,0.9826328823640544,0.9826328823640544,0
nuscenes_full,cc8c0bf57f984915a77078b10eb33198,381,0.9964284598019548,0.9530766065486979,0.9741986051826916,0.9741986051826916,0
nuscenes_full,6f83169d067343658251f72e1dd17dbc,397,0.9991228503080127,0.9032168009056916,0.9486684126990167,0.9486684126990167,0
nuscenes_full,fcbccedd61424f1b85dcbf8f897f9754,388,0.9950961708785871,0.8916625222235336,0.9401209093645301,0.9401209093645301,0
nuscenes_full,2fc3753772e241f2ab2cd16a784cc680,396,0.9969560474654628,0.8877993046680385,0.9388032604019794,0.9388032604019794,0
nuscenes_full,de7d80a1f5fb4c3e82ce8a4f213b450a,390,0.9961427672118734,0.8513048244931736,0.9175595528929045,0.9175595528929045,0
nuscenes_full,e233467e827140efa4b42d2b4c435855,390,0.9989774706365627,0.8035235429157509,0.8905578521482523,0.8905578521482523,0
nuscenes_full,c5224b9b454b4ded9b5d2d2634bbda8a,391,0.9947232933987172,0.6840798170816768,0.8098072478131473,0.8098072478131473,0
nuscenes_full,d25718445d89453381c659b9c8734939,399,0.9934102667730375,0.6757439129254116,0.8030776301316769,0.8030776301316769,0
